,schet_2,balance_name,schet_1_name,sum2,bank,schet_1,Liquid,Work,Доля работающих активов,Уровень просрочки
0,10605,"Отрицательная переоценка ценных бумаг, оцениваемых по справедливой стоимости через прочий совокупный доход",Добавочный капитал,1748458000,АО ЮниКредит Банк,106,0,Неработающий,0.8784367362811438,0.0
1,10610,Уменьшение добавочного капитала на отложенный налог на прибыль,Добавочный капитал,2240072000,АО ЮниКредит Банк,106,0,Неработающий,0.8784367362811438,0.0
4,20202,Касса кредитных организаций,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",8030939000,АО ЮниКредит Банк,202,Высоколиквидный,Неработающий,0.8784367362811438,0.0
5,20208,Денежные средства в банкоматах и автоматических приемных устройствах,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",2427319000,АО ЮниКредит Банк,202,Высоколиквидный,Неработающий,0.8784367362811438,0.0
6,20209,Денежные средства в пути,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",139414000,АО ЮниКредит Банк,202,Высоколиквидный,Неработающий,0.8784367362811438,0.0
7,20308,Драгоценные металлы в монетах и памятных медалях,Драгоценные металлы,4851000,АО ЮниКредит Банк,203,Высоколиквидный,Неработающий,0.8784367362811438,0.0
8,30102,Корреспондентские счета кредитных организаций в Банке России,Корреспондентские счета,29902997000,АО ЮниКредит Банк,301,Высоколиквидный,Работающий,0.8784367362811438,0.0
9,30110,Корреспондентские счета в кредитных организациях - корреспондентах,Корреспондентские счета,806237000,АО ЮниКредит Банк,301,Высоколиквидный,Работающий,0.8784367362811438,0.0
10,30114,Корреспондентские счета в банках-нерезидентах,Корреспондентские счета,43836996000,АО ЮниКредит Банк,301,Высоколиквидный,Работающий,0.8784367362811438,0.0
11,30202,"Обязательные резервы кредитных организаций, депонированные в Банке России",Счета кредитных организаций по другим операциям,10488986000,АО ЮниКредит Банк,302,Неликвидный,Неработающий,0.8784367362811438,0.0
12,30215,Взносы в гарантийный фонд платежной системы,Счета кредитных организаций по другим операциям,480888000,АО ЮниКредит Банк,302,0,Неработающий,0.8784367362811438,0.0
13,30233,Незавершенные расчеты с операторами услуг платежной инфраструктуры и операторами по переводу денежных средств,Счета кредитных организаций по другим операциям,484115000,АО ЮниКредит Банк,302,Высоколиквидный,Неработающий,0.8784367362811438,0.0
15,32003,на срок от 2 до 7 дней,"Кредиты и депозиты, предоставленные кредитным организациям",19000000000,АО ЮниКредит Банк,320,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
16,32004,на срок от 8 до 30 дней,"Кредиты и депозиты, предоставленные кредитным организациям",400000000,АО ЮниКредит Банк,320,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
17,32008,на срок от 1 года до 3 лет,"Кредиты и депозиты, предоставленные кредитным организациям",14162696000,АО ЮниКредит Банк,320,Неликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
19,32101,"Кредит, предоставленный при недостатке средств на корреспондентском счете (""овердрафт"")","Кредиты и депозиты, предоставленные банкам-нерезидентам",3668055000,АО ЮниКредит Банк,321,Ликвидный,Работающий,0.8784367362811438,1.6118494998874952e-05
20,32102,на 1 день,"Кредиты и депозиты, предоставленные банкам-нерезидентам",38908700000,АО ЮниКредит Банк,321,Высоколиквидный,Работающий,0.8784367362811438,1.6118494998874952e-05
21,32105,на срок от 31 до 90 дней,"Кредиты и депозиты, предоставленные банкам-нерезидентам",25992570000,АО ЮниКредит Банк,321,Неликвидный,Работающий,0.8784367362811438,1.6118494998874952e-05
22,32108,на срок от 1 года до 3 лет,"Кредиты и депозиты, предоставленные банкам-нерезидентам",855991000,АО ЮниКредит Банк,321,Неликвидный,Работающий,0.8784367362811438,1.6118494998874952e-05
23,32201,до востребования,Прочие размещенные средства в кредитных организациях,361803000,АО ЮниКредит Банк,322,Высоколиквидный,Работающий,0.8784367362811438,2.0067772756071556e-06
24,32202,на 1 день,Прочие размещенные средства в кредитных организациях,95273591000,АО ЮниКредит Банк,322,Высоколиквидный,Работающий,0.8784367362811438,2.0067772756071556e-06
25,32203,на срок от 2 до 7 дней,Прочие размещенные средства в кредитных организациях,60541025000,АО ЮниКредит Банк,322,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
26,32204,на срок от 8 до 30 дней,Прочие размещенные средства в кредитных организациях,599248000,АО ЮниКредит Банк,322,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
28,32301,до востребования,Прочие размещенные средства в банках-нерезидентах,24504049000,АО ЮниКредит Банк,323,Высоколиквидный,Работающий,0.8784367362811438,1.6118494998874952e-05
29,32401,"по межбанковским кредитам, депозитам и прочим размещенным средствам, предоставленным кредитным организациям","Просроченная задолженность по предоставленным межбанковским кредитам, депозитам и прочим размещенным средствам",382000,АО ЮниКредит Банк,324,Неликвидный,Неработающий,0.8784367362811438,0.0
30,32402,"по межбанковским кредитам, депозитам и прочим размещенным средствам, предоставленным банкам-нерезидентам","Просроченная задолженность по предоставленным межбанковским кредитам, депозитам и прочим размещенным средствам",1514000,АО ЮниКредит Банк,324,Неликвидный,Неработающий,0.8784367362811438,0.0
31,45107,на срок от 1 года до 3 лет,"Кредиты, предоставленные негосударственным финансовым организациям",2023000000,АО ЮниКредит Банк,451,Неликвидный,Работающий,0.8784367362811438,0.0009818069010169783
32,45108,на срок свыше 3 лет,"Кредиты, предоставленные негосударственным финансовым организациям",2122115000,АО ЮниКредит Банк,451,Неликвидный,Работающий,0.8784367362811438,0.0009818069010169783
33,45201,"Кредит, предоставленный при недостатке средств на расчетном (текущем) счете (""овердрафт"")","Кредиты, предоставленные негосударственным коммерческим организациям",1984817000,АО ЮниКредит Банк,452,Ликвидный,Работающий,0.8784367362811438,0.010772989695714937
34,45203,на срок до 30 дней,"Кредиты, предоставленные негосударственным коммерческим организациям",5229535000,АО ЮниКредит Банк,452,Ликвидный,Работающий,0.8784367362811438,0.010772989695714937
35,45204,на срок от 31 до 90 дней,"Кредиты, предоставленные негосударственным коммерческим организациям",8689057000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
36,45205,на срок от 91 до 180 дней,"Кредиты, предоставленные негосударственным коммерческим организациям",10845474000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
37,45206,на срок от 181 дня до 1 года,"Кредиты, предоставленные негосударственным коммерческим организациям",76003876000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
38,45207,на срок от 1 года до 3 лет,"Кредиты, предоставленные негосударственным коммерческим организациям",111216574000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
39,45208,на срок свыше 3 лет,"Кредиты, предоставленные негосударственным коммерческим организациям",204485691000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
40,45211,Приобретенные права требования по договорам на предоставление (размещение) денежных средств,"Кредиты, предоставленные негосударственным коммерческим организациям",29816436000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
41,45401,"Кредит, предоставленный при недостатке средств на расчетном (текущем) счете (""овердрафт"")","Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",86147000,АО ЮниКредит Банк,454,Ликвидный,Работающий,0.8784367362811438,0.16058266913120053
42,45404,Кредиты на срок от 31 до 90 дней,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",51550000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
43,45405,Кредиты на срок от 91 до 180 дней,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",5025000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
44,45406,Кредиты на срок от 181 дня до 1 года,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",230134000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
45,45407,Кредиты на срок от 1 года до 3 лет,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",187449000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
46,45408,Кредиты на срок свыше 3 лет,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",214276000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
47,45410,"Прочие средства, предоставленные индивидуальным предпринимателям","Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",2650000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
49,45505,Кредиты на срок от 181 дня до 1 года,"Кредиты и прочие средства, предоставленные физическим лицам",213094000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
50,45506,Кредиты на срок от 1 года до 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам",14747404000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
51,45507,Кредиты на срок свыше 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам",126351982000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
52,45509,"Кредит, предоставленный при недостатке средств на депозитном счете (""овердрафт"")","Кредиты и прочие средства, предоставленные физическим лицам",3899065000,АО ЮниКредит Банк,455,Ликвидный,Работающий,0.8784367362811438,0.06053906957990136
53,45511,Приобретенные права требования по договорам на предоставление (размещение) денежных средств,"Кредиты и прочие средства, предоставленные физическим лицам",64358000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
54,45602,на срок от 31 до 90 дней,"Кредиты, предоставленные юридическим лицам - нерезидентам",70036000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
55,45603,на срок от 91 до 180 дней,"Кредиты, предоставленные юридическим лицам - нерезидентам",1688638000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
56,45604,на срок от 181 дня до 1 года,"Кредиты, предоставленные юридическим лицам - нерезидентам",2092073000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
57,45605,на срок от 1 года до 3 лет,"Кредиты, предоставленные юридическим лицам - нерезидентам",5058131000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
58,45606,на срок свыше 3 лет,"Кредиты, предоставленные юридическим лицам - нерезидентам",37374037000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
59,45705,Кредиты на срок от 1 года до 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам - нерезидентам",2616000,АО ЮниКредит Банк,457,Неликвидный,Работающий,0.8784367362811438,0.03782264339786925
60,45706,Кредиты на срок свыше 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам - нерезидентам",1363411000,АО ЮниКредит Банк,457,Неликвидный,Работающий,0.8784367362811438,0.03782264339786925
61,45708,"Кредит, предоставленный при недостатке средств на депозитном счете (""овердрафт"")","Кредиты и прочие средства, предоставленные физическим лицам - нерезидентам",16769000,АО ЮниКредит Банк,457,Ликвидный,Работающий,0.8784367362811438,0.03782264339786925
62,45806,"Коммерческим организациям, находящимся в федеральной собственности",Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,135000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
63,45809,"Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,668000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
64,45811,Негосударственным финансовым организациям,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,4070000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
65,45812,Негосударственным коммерческим организациям,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,4662110000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
66,45813,Негосударственным некоммерческим организациям,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,1449000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
67,45814,Индивидуальным предпринимателям,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,121076000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
68,45815,Физическим лицам,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,8315808000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
69,45816,Юридическим лицам - нерезидентам,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,11309000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
70,45817,Физическим лицам - нерезидентам,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,50734000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
72,45912,Негосударственным коммерческим организациям,Просроченные проценты по предоставленным кредитам и прочим размещенным средствам,214717000,АО ЮниКредит Банк,459,Неликвидный,Неработающий,0.8784367362811438,0.0
73,45914,Индивидуальным предпринимателям,Просроченные проценты по предоставленным кредитам и прочим размещенным средствам,4200000,АО ЮниКредит Банк,459,Неликвидный,Неработающий,0.8784367362811438,0.0
74,45915,Физическим лицам,Просроченные проценты по предоставленным кредитам и прочим размещенным средствам,479060000,АО ЮниКредит Банк,459,Неликвидный,Неработающий,0.8784367362811438,0.0
75,45917,Физическим лицам - нерезидентам,Просроченные проценты по предоставленным кредитам и прочим размещенным средствам,1567000,АО ЮниКредит Банк,459,Неликвидный,Неработающий,0.8784367362811438,0.0
77,46507,на срок свыше 3 лет,"Средства, предоставленные коммерческим организациям, находящимся в федеральной собственности",378000,АО ЮниКредит Банк,465,Неликвидный,Работающий,0.8784367362811438,0.35714285714285715
78,47006,на срок от 1 года до 3 лет,"Средства, предоставленные негосударственным финансовым организациям",235000,АО ЮниКредит Банк,470,0,Работающий,0.8784367362811438,0.0009818069010169783
79,47007,на срок свыше 3 лет,"Средства, предоставленные негосударственным финансовым организациям",68000,АО ЮниКредит Банк,470,0,Работающий,0.8784367362811438,0.0009818069010169783
80,47101,до востребования,"Средства, предоставленные негосударственным коммерческим организациям",300000,АО ЮниКредит Банк,471,Высоколиквидный,Работающий,0.8784367362811438,0.010772989695714937
81,47102,на срок до 30 дней,"Средства, предоставленные негосударственным коммерческим организациям",1839849000,АО ЮниКредит Банк,471,Ликвидный,Работающий,0.8784367362811438,0.010772989695714937
82,47103,на срок от 31 до 90 дней,"Средства, предоставленные негосударственным коммерческим организациям",330278000,АО ЮниКредит Банк,471,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
83,47104,на срок от 91 до 180 дней,"Средства, предоставленные негосударственным коммерческим организациям",1418693000,АО ЮниКредит Банк,471,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
84,47105,на срок от 181 дня до 1 года,"Средства, предоставленные негосударственным коммерческим организациям",825798000,АО ЮниКредит Банк,471,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
85,47107,на срок свыше 3 лет,"Средства, предоставленные негосударственным коммерческим организациям",3835000,АО ЮниКредит Банк,471,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
86,47417,"Суммы, списанные с корреспондентских счетов, до выяснения",Расчеты по отдельным операциям и корректировки,3675000,АО ЮниКредит Банк,474,Высоколиквидный,Неработающий,0.8784367362811438,0.0
88,47423,Требования по прочим операциям,Расчеты по отдельным операциям и корректировки,628048000,АО ЮниКредит Банк,474,Высоколиквидный,Неработающий,0.8784367362811438,0.0
89,47427,Начисленные проценты по предоставленным (размещенным) денежным средствам,Расчеты по отдельным операциям и корректировки,3942011000,АО ЮниКредит Банк,474,Высоколиквидный,Неработающий,0.8784367362811438,0.0
90,47431,Требования по аккредитивам,Расчеты по отдельным операциям и корректировки,8743161000,АО ЮниКредит Банк,474,Высоколиквидный,Неработающий,0.8784367362811438,0.0
91,47440,Затраты по сделке по финансовым обязательствам и финансовым активам,Расчеты по отдельным операциям и корректировки,988269000,АО ЮниКредит Банк,474,0,Неработающий,0.8784367362811438,0.0
92,47443,"Расчеты по прочим доходам, связанным с предоставлением (размещением) денежных средств",Расчеты по отдельным операциям и корректировки,261654000,АО ЮниКредит Банк,474,Высоколиквидный,Неработающий,0.8784367362811438,0.0
93,47447,"Корректировки, увеличивающие стоимость предоставленных (размещенных) денежных средств",Расчеты по отдельным операциям и корректировки,12978000,АО ЮниКредит Банк,474,0,Неработающий,0.8784367362811438,0.0
95,47502,Расчеты по выданным банковским гарантиям,Расчеты по выданным банковским гарантиям и обязательства по предоставлению денежных средств,2218804000,АО ЮниКредит Банк,475,0,Неработающий,0.8784367362811438,0.0
96,47816,Расчеты по прочим доходам по операциям по приобретению прав требования,Вложения в приобретенные права требования,104208000,АО ЮниКредит Банк,478,Неликвидный,Работающий,0.8784367362811438,0.0
97,47827,"Права требования, приобретенные по договорам финансирования под уступку денежного требования и иным договорам, к коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",Вложения в приобретенные права требования,4865000,АО ЮниКредит Банк,478,0,Работающий,0.8784367362811438,0.0
98,47830,"Права требования, приобретенные по договорам финансирования под уступку денежного требования и иным договорам, к негосударственным коммерческим организациям",Вложения в приобретенные права требования,6846101000,АО ЮниКредит Банк,478,Неликвидный,Работающий,0.8784367362811438,0.0
99,47832,"Права требования, приобретенные по договорам финансирования под уступку денежного требования и иным договорам, к индивидуальным предпринимателям",Вложения в приобретенные права требования,39427000,АО ЮниКредит Банк,478,Неликвидный,Работающий,0.8784367362811438,0.0
100,47834,"Права требования, приобретенные по договорам финансирования под уступку денежного требования и иным договорам, к юридическим лицам - нерезидентам",Вложения в приобретенные права требования,112762000,АО ЮниКредит Банк,478,Неликвидный,Работающий,0.8784367362811438,0.0
102,50205,Долговые ценные бумаги Российской Федерации,"Долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",13989442000,АО ЮниКредит Банк,502,Высоколиквидный,Работающий,0.8784367362811438,0.0
103,50206,Долговые ценные бумаги субъектов Российской Федерации и органов местного самоуправления,"Долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",1520332000,АО ЮниКредит Банк,502,Высоколиквидный,Работающий,0.8784367362811438,0.0
104,50207,Долговые ценные бумаги кредитных организаций,"Долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",1295090000,АО ЮниКредит Банк,502,Ликвидный,Работающий,0.8784367362811438,0.0
105,50208,Долговые ценные бумаги прочих резидентов,"Долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",8678792000,АО ЮниКредит Банк,502,Ликвидный,Работающий,0.8784367362811438,0.0
106,50211,Долговые ценные бумаги прочих нерезидентов,"Долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",504845000,АО ЮниКредит Банк,502,Ликвидный,Работающий,0.8784367362811438,0.0
107,50401,Долговые ценные бумаги Российской Федерации,"Долговые ценные бумаги, оцениваемые по амортизированной стоимости",73835814000,АО ЮниКредит Банк,504,Высоколиквидный,Работающий,0.8784367362811438,0.0
108,50418,"Долговые ценные бумаги, переданные без прекращения признания","Долговые ценные бумаги, оцениваемые по амортизированной стоимости",2184628000,АО ЮниКредит Банк,504,Неликвидный,Работающий,0.8784367362811438,0.0
109,50428,"Корректировки, увеличивающие стоимость долговых ценных бумаг","Долговые ценные бумаги, оцениваемые по амортизированной стоимости",84443000,АО ЮниКредит Банк,504,0,Работающий,0.8784367362811438,0.0
110,50705,Долевые ценные бумаги кредитных организаций,"Долевые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",1000,АО ЮниКредит Банк,507,Ликвидный,Работающий,0.8784367362811438,0.0
111,50706,Долевые ценные бумаги прочих резидентов,"Долевые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход",115819000,АО ЮниКредит Банк,507,Ликвидный,Работающий,0.8784367362811438,0.0
113,50905,Предварительные затраты по приобретению и выбытию (реализации) ценных бумаг,Прочие счета по операциям с приобретенными ценными бумагами,7000,АО ЮниКредит Банк,509,Ликвидный,Работающий,0.8784367362811438,0.0
114,52601,"Производные финансовые инструменты, от которых ожидается получение экономических выгод",Производные финансовые инструменты,53473509000,АО ЮниКредит Банк,526,Неликвидный,Работающий,0.8784367362811438,0.0
117,60202,"Средства, внесенные в уставные капиталы организаций",Прочее участие,1227400000,АО ЮниКредит Банк,602,Неликвидный,Неработающий,0.8784367362811438,0.0
118,60204,"Средства, внесенные в уставные капиталы организаций-нерезидентов",Прочее участие,6035310000,АО ЮниКредит Банк,602,Неликвидный,Неработающий,0.8784367362811438,0.0
119,60302,Расчеты по налогам и сборам,Расчеты с дебиторами и кредиторами,61248000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
120,60308,Расчеты с работниками по подотчетным суммам,Расчеты с дебиторами и кредиторами,1604000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
121,60310,"Налог на добавленную стоимость, уплаченный",Расчеты с дебиторами и кредиторами,53276000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
122,60312,"Расчеты с поставщиками, подрядчиками и покупателями",Расчеты с дебиторами и кредиторами,1716028000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
123,60314,Расчеты с организациями-нерезидентами по хозяйственным операциям,Расчеты с дебиторами и кредиторами,589321000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
124,60323,Расчеты с прочими дебиторами,Расчеты с дебиторами и кредиторами,733595000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
125,60347,"Расчеты по начисленным доходам по акциям, долям, паям",Расчеты с дебиторами и кредиторами,36136000,АО ЮниКредит Банк,603,Ликвидный,Неработающий,0.8784367362811438,0.0
127,60401,Основные средства (кроме земли),Основные средства,59051304000,АО ЮниКредит Банк,604,Неликвидный,Неработающий,0.8784367362811438,0.0
128,60404,Земля,Основные средства,59864000,АО ЮниКредит Банк,604,Неликвидный,Неработающий,0.8784367362811438,0.0
129,60415,"Вложения в сооружение (строительство), создание (изготовление) и приобретение основных средств",Основные средства,1577456000,АО ЮниКредит Банк,604,Неликвидный,Неработающий,0.8784367362811438,0.0
130,60804,"Имущество, полученное в финансовую аренду",Аренда,2662106000,АО ЮниКредит Банк,608,Неликвидный,Неработающий,0.8784367362811438,0.0
131,60901,Нематериальные активы,Нематериальные активы,15287242000,АО ЮниКредит Банк,609,Неликвидный,Неработающий,0.8784367362811438,0.0
132,60906,Вложения в создание и приобретение нематериальных активов,Нематериальные активы,2583938000,АО ЮниКредит Банк,609,Неликвидный,Неработающий,0.8784367362811438,0.0
133,61002,Запасные части,Запасы,929000,АО ЮниКредит Банк,610,Неликвидный,Неработающий,0.8784367362811438,0.0
134,61008,Материалы,Запасы,3471000,АО ЮниКредит Банк,610,Неликвидный,Неработающий,0.8784367362811438,0.0
135,61009,Инвентарь и принадлежности,Запасы,18045000,АО ЮниКредит Банк,610,Неликвидный,Неработающий,0.8784367362811438,0.0
136,61702,Отложенный налоговый актив по вычитаемым временным разницам,Отложенные налоговые обязательства и отложенные налоговые активы,2771896000,АО ЮниКредит Банк,617,Неликвидный,Неработающий,0.8784367362811438,0.0
137,62001,"Долгосрочные активы, предназначенные для продажи","Долгосрочные активы, предназначенные для продажи",373284000,АО ЮниКредит Банк,620,Неликвидный,Неработающий,0.8784367362811438,0.0
138,10901,Непокрытый убыток,Непокрытый убыток,18712268000,Банк ГПБ (АО),109,0,Неработающий,0.8358403312941649,0.0
139,20202,Касса кредитных организаций,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",91402863000,Банк ГПБ (АО),202,Высоколиквидный,Неработающий,0.8358403312941649,0.0
140,20208,Денежные средства в банкоматах и автоматических приемных устройствах,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",33782521000,Банк ГПБ (АО),202,Высоколиквидный,Неработающий,0.8358403312941649,0.0
141,20209,Денежные средства в пути,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",6557375000,Банк ГПБ (АО),202,Высоколиквидный,Неработающий,0.8358403312941649,0.0
142,20302,Золото,Драгоценные металлы,11878317000,Банк ГПБ (АО),203,Высоколиквидный,Неработающий,0.8358403312941649,0.0
143,20303,Другие драгоценные металлы (кроме золота),Драгоценные металлы,1953566000,Банк ГПБ (АО),203,Высоколиквидный,Неработающий,0.8358403312941649,0.0
144,20305,Драгоценные металлы в пути,Драгоценные металлы,7732134000,Банк ГПБ (АО),203,Высоколиквидный,Неработающий,0.8358403312941649,0.0
145,30102,Корреспондентские счета кредитных организаций в Банке России,Корреспондентские счета,346220740000,Банк ГПБ (АО),301,Высоколиквидный,Работающий,0.8358403312941649,0.0
146,30110,Корреспондентские счета в кредитных организациях - корреспондентах,Корреспондентские счета,151530794000,Банк ГПБ (АО),301,Высоколиквидный,Работающий,0.8358403312941649,0.0
147,30114,Корреспондентские счета в банках-нерезидентах,Корреспондентские счета,121281765000,Банк ГПБ (АО),301,Высоколиквидный,Работающий,0.8358403312941649,0.0
148,30202,"Обязательные резервы кредитных организаций, депонированные в Банке России",Счета кредитных организаций по другим операциям,70506554000,Банк ГПБ (АО),302,Неликвидный,Неработающий,0.8358403312941649,0.0
149,30210,Счета кредитных организаций (филиалов) по кассовому обслуживанию структурных подразделений,Счета кредитных организаций по другим операциям,659917000,Банк ГПБ (АО),302,Высоколиквидный,Неработающий,0.8358403312941649,0.0
150,30221,Незавершенные переводы и расчеты кредитной организации,Счета кредитных организаций по другим операциям,1781971000,Банк ГПБ (АО),302,Высоколиквидный,Неработающий,0.8358403312941649,0.0
